0 (10): 445735,445736,445734,445733,445739,445738,445737,348380,348386,348381
1 (10): 329978,329974,329979,329977,329976,329975,68252,68426,68425,68253
2 (10): 445735,445736,445734,445733,445739,445738,445737,348380,348386,348381
3 (10): 329978,329974,329979,329977,329976,329975,68252,68426,68425,68253
4 (10): 30970,30977,30971,30976,30978,30975,30974,30973,30972,30979
5 (10): 445736,445735,445737,445734,445733,445739,445738,329978,329974,329979
6 (10): 329978,329974,329979,329977,329976,329975,68252,68426,68425,68253
7 (10): 329974,329979,329978,329977,329975,329976,201932,201931,201928,201933
8 (10): 445735,445736,445734,445733,445739,445738,445737,30977,30978,30976
9 (10): 329978,329974,329979,329977,329976,329975,68252,68426,68253,68425
10 (10): 445736,445735,445734,445733,445739,445737,445738,30977,30970,30971
11 (10): 30970,30971,30977,30976,30975,30974,30973,30978,30972,30979
12 (10): 445736,445735,445734,445733,445739,445737,445738,30970,30971,30977
13 (10): 329978,329974,329979,329977,329976,329975,445736,445735,445737,445734
14 (10): 329978,329974,329979,329977,329976,329975,445736,445735,445737,445734
15 (10): 445736,445735,445734,445733,445739,445737,445738,30970,30977,30971
16 (10): 30977,30970,30971,30976,30978,30975,30974,30973,30972,30979
17 (10): 445736,445735,445734,445737,445733,445739,445738,348382,348381,348380
18 (10): 445736,445735,445734,445733,445739,445737,445738,30977,30970,30971
19 (10): 232682,232683,232681,30970,232680,232685,232684,30971,30972,30973
20 (10): 30970,30971,232682,232683,232681,30972,30973,30974,30975,232680
21 (10): 30970,30971,232682,30972,30973,30974,30975,232683,232681,30976
22 (10): 329974,329979,329978,329977,329975,329976,445736,445735,445734,445737
23 (10): 232682,232681,232683,232680,232685,232684,30970,30971,30972,30973
24 (10): 232682,232681,232683,232680,232685,232684,30970,30971,30972,30973
25 (10): 232682,232681,232683,232680,232685,232684,30970,30971,30972,30973
26 (10): 201932,201928,201933,201931,201930,201929,323165,323166,323164,323163
27 (10): 201932,201928,201933,201931,201930,201929,323165,323166,323164,323163
28 (10): 201932,201931,201928,201933,201930,201929,329974,329979,329978,329977
29 (10): 201932,201931,201928,201933,201930,201929,323165,323166,323164,323163
30 (10): 201932,201928,201933,201931,201930,201929,323165,323166,323164,323163
31 (10): 232682,232681,232683,232680,232685,232684,30970,30971,30969,30998
32 (10): 232682,232681,232683,232680,232685,232684,30970,30971,30969,30998
33 (10): 232682,232681,232683,232680,232685,232684,30970,30971,30969,30998
34 (10): 232682,232681,232683,232680,232685,232684,30970,30971,30969,30998
35 (10): 232682,232681,232683,232680,232685,232684,30970,30971,30969,30998
36 (10): 232682,232681,232683,232680,232685,232684,30970,30971,30969,30998
37 (10): 232682,232681,232683,232680,232685,232684,30970,30971,30972,30973
38 (10): 232682,232681,232683,232680,232685,232684,30970,30971,30972,30973
39 (10): 232682,232681,232683,232680,232685,232684,30970,30971,30972,30973
40 (10): 232682,232681,232683,232680,232685,232684,30970,30971,30972,30973
41 (10): 232682,232681,232683,232680,232685,232684,30970,30971,30972,30973
42 (10): 232682,232681,232683,232680,232685,232684,30970,30971,30972,30973
43 (10): 201931,201932,201930,201929,201928,201933,329974,329979,329975,329978
44 (10): 201931,201930,201929,201932,201928,201933,329974,329979,329975,329976
45 (10): 201931,201932,201930,201929,201928,201933,329974,329979,329978,329975
46 (10): 201931,201930,201929,201932,201928,201933,329974,329979,329975,329978
47 (10): 201931,201930,201929,201932,201928,201933,329974,329979,329975,329977
48 (10): 201931,201932,201930,201929,201928,201933,329974,329979,329975,329978
49 (10): 201931,201930,201929,201932,201928,201933,329975,329974,329979,329976
50 (10): 201931,201932,201930,201929,201928,201933,329974,329979,329975,329978
51 (10): 329975,329974,329979,329976,329977,329978,201931,201932,201930,201929
52 (10): 201932,201931,201928,201933,201930,201929,329974,329979,329978,329975
53 (10): 201931,201930,201929,201932,201928,201933,329975,329974,329979,329976
54 (10): 201931,201930,201929,201932,201928,201933,329974,329979,329975,329976
55 (10): 329974,329979,329978,329977,329975,329976,201932,201931,201930,201929
56 (10): 329974,329979,329978,329977,329975,329976,201932,201931,201930,201929
57 (10): 329974,329979,329975,329978,329977,329976,201931,201932,201930,201929
58 (10): 201931,201930,201929,201932,201928,201933,329974,329979,329975,329976
59 (10): 329974,329979,329975,329978,329977,329976,201931,201932,201930,201929
60 (10): 329974,329979,329975,329978,329977,329976,201931,201932,201930,201929
61 (10): 329974,329979,329978,329975,329977,329976,68252,68426,68253,68254
62 (10): 329978,329974,329979,329977,329976,329975,68252,68426,68253,68425
