0 (10): 9311,7001,803,5361,6764,3905,1642,3260,4669,5762
1 (10): 6764,1642,9311,7001,4888,3260,3905,4669,803,5361
2 (10): 9311,7001,803,5361,6764,3905,1642,3260,5762,4669
3 (10): 6764,1642,9311,7001,4888,3260,3905,4669,803,5887
4 (10): 803,9311,5361,7001,6764,4669,1642,6595,9874,3905
5 (10): 9311,6764,7001,1642,803,4669,3905,3260,4888,5361
6 (10): 6764,1642,9311,7001,4669,4888,3260,3905,803,5361
7 (10): 6764,4669,1642,9311,7001,4888,6595,803,9874,5361
8 (10): 9311,803,7001,5361,6764,1642,3905,4669,3260,5762
9 (10): 6764,1642,9311,7001,4669,4888,3260,3905,803,5361
10 (10): 9311,803,6764,7001,5361,4669,1642,6595,3905,9874
11 (10): 803,6764,4669,9311,5361,7001,6595,1642,9874,7588
12 (10): 9311,803,6764,5361,7001,4669,1642,6595,9874,3905
13 (10): 6764,9311,7001,1642,4669,803,4888,3905,3260,5361
14 (10): 6764,9311,1642,7001,4669,4888,803,3260,3905,5361
15 (10): 9311,803,6764,7001,5361,4669,1642,6595,9874,3905
16 (10): 803,5361,9311,7001,6764,4669,1642,6595,9874,5762
17 (10): 9311,7001,6764,1642,803,3905,3260,4669,5361,4888
18 (10): 9311,803,7001,6764,5361,4669,1642,6595,9874,3905
19 (10): 5361,803,9311,6595,4669,9874,7001,1737,2433,6764
20 (10): 803,5361,9311,6595,4669,7001,9874,1737,2433,6764
21 (10): 803,5361,9311,6595,4669,7001,9874,1737,2433,6764
22 (10): 6764,9311,4669,7001,803,1642,5361,6595,9874,4888
23 (10): 5361,803,6595,9874,4669,2433,9311,8398,1737,7001
24 (10): 5361,803,6595,9311,4669,9874,7001,1737,2433,8398
25 (10): 5361,803,6595,4669,9874,9311,7001,6764,8398,2433
26 (10): 4669,6595,9874,7588,6764,8398,5361,803,5230,6301
27 (10): 4669,6595,9874,7588,8398,6764,5361,803,5230,6301
28 (10): 4669,6764,6595,9874,1642,9311,803,7001,5361,7588
29 (10): 4669,6595,9874,6764,7588,8398,1642,5230,5361,803
30 (10): 4669,6595,9874,6764,7588,8398,5361,803,1642,9311
31 (10): 5361,803,6595,9874,2433,8398,4669,7588,1737,5230
32 (10): 5361,803,6595,9874,2433,8398,4669,7588,1737,5230
33 (10): 5361,803,6595,9874,2433,8398,4669,1737,7588,5230
34 (10): 5361,803,6595,9874,2433,8398,4669,1737,7588,5230
35 (10): 5361,803,6595,9874,2433,8398,4669,1737,7588,5230
36 (10): 5361,803,6595,9874,2433,8398,4669,1737,7588,5230
37 (10): 5361,803,6595,9874,4669,9311,2433,1737,8398,7001
38 (10): 5361,803,6595,9874,4669,9311,2433,1737,8398,7001
39 (10): 5361,803,6595,4669,9874,9311,7001,2433,1737,8398
40 (10): 5361,803,6595,4669,9874,9311,7001,1737,2433,8398
41 (10): 5361,803,6595,4669,9311,9874,7001,1737,2433,8398
42 (10): 5361,803,6595,9311,4669,9874,7001,1737,2433,8398
43 (10): 4669,6764,9874,6595,1642,4888,7588,4319,9788,8398
44 (10): 4669,6764,9874,6595,4888,1642,7588,4319,9788,8967
45 (10): 4669,6764,9874,6595,1642,7588,4888,9311,4319,9788
46 (10): 4669,6764,9874,6595,7588,1642,4888,4319,9788,8398
47 (10): 4669,6764,9874,6595,7588,4888,1642,4319,9788,8398
48 (10): 4669,6764,9874,6595,7588,1642,4888,4319,9788,8398
49 (10): 4669,6764,4888,1642,9874,6595,4319,9788,7588,8967
50 (10): 4669,6764,9874,6595,1642,4888,7588,4319,9788,9311
51 (10): 6764,4669,4888,1642,4319,9788,9874,6595,7588,9311
52 (10): 4669,6764,6595,9874,7588,1642,4888,9311,803,8398
53 (10): 4669,6764,9874,6595,4888,7588,1642,4319,9788,8967
54 (10): 4669,6764,9874,6595,7588,4888,1642,4319,9788,8398
55 (10): 6764,4669,1642,4888,6595,9874,9311,7001,7588,803
56 (10): 6764,4669,1642,4888,6595,9874,9311,7001,7588,803
57 (10): 6764,4669,1642,4888,9874,6595,4319,9788,7588,9311
58 (10): 4669,6764,9874,6595,7588,4888,1642,4319,9788,8398
59 (10): 6764,4669,1642,4888,9874,6595,4319,9788,7588,9311
60 (10): 6764,4669,1642,4888,9874,6595,4319,9788,7588,9311
61 (10): 6764,1642,4669,4888,9311,7001,4319,9788,6595,9874
62 (10): 6764,1642,4888,9311,7001,3260,3905,4669,9788,4319
63 (10): 6764,1642,9311,4888,7001,3260,3905,4669,5887,9788
64 (10): 6764,1642,9311,4888,7001,3260,3905,4669,5887,9788
65 (10): 6764,1642,4669,4888,9311,7001,4319,9788,3260,6595
66 (10): 6764,4669,1642,4888,4319,9788,9874,6595,9311,7001
67 (10): 6764,1642,9311,7001,4888,3260,3905,4669,803,5887
68 (10): 6764,4669,1642,4888,9311,7001,4319,9788,6595,9874
69 (10): 6764,1642,9311,7001,4888,4669,3260,3905,803,9788
70 (10): 6764,4669,1642,4888,9311,7001,4319,9788,6595,9874
71 (10): 6764,1642,4888,9311,7001,4669,3260,3905,9788,4319
72 (10): 6764,1642,4888,9311,7001,3260,3905,4669,9788,4319
73 (10): 6764,1642,4669,4888,9311,7001,6595,3260,4319,9788
74 (10): 6764,1642,4888,9311,7001,4669,3260,3905,9788,4319
75 (10): 6764,1642,4888,9788,4319,7001,9311,4669,3260,3905
76 (10): 6764,1642,4888,4319,9788,4669,9311,7001,3260,3905
77 (10): 6764,4669,1642,4888,9311,7001,4319,9788,6595,9874
78 (10): 6764,1642,4888,4669,9311,7001,9788,4319,3260,3905
79 (10): 6764,1642,4888,4669,9311,7001,9788,4319,3260,3905
80 (10): 6764,1642,4888,9788,4319,4669,7001,9311,3260,3905
81 (10): 6764,1642,4669,4888,9311,7001,6595,9874,803,3260
